City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,arica,-18.48,-70.3,54.23,85,41,2.66,CL,1595292968
273,polur,12.5,79.13,80.26,81,100,0.49,IN,1595292968
274,oudtshoorn,-33.59,22.2,51.8,100,0,2.24,ZA,1595292968
275,katobu,-4.94,122.53,79.88,80,88,5.61,ID,1595292968
276,corning,42.14,-77.05,82.4,45,1,5.82,US,1595292800
277,norman wells,65.28,-126.83,64.4,77,90,10.29,CA,1595292968
278,khasan,42.43,130.64,75.97,63,0,10.83,RU,1595292969
279,soe,-9.86,124.28,72.19,67,100,7.4,ID,1595292764
280,inuvik,68.35,-133.72,50.0,66,75,11.41,CA,1595292847
281,ishigaki,24.34,124.16,87.8,79,20,4.7,JP,1595292969
282,colinas,-6.03,-44.25,80.56,48,100,3.29,BR,1595292969
283,witbank,-25.87,29.23,41.43,51,0,4.88,ZA,1595292969
284,rudnichnyy,59.62,52.47,58.77,79,100,10.89,RU,1595292970
285,camacha,33.08,-16.33,69.8,77,40,19.46,PT,1595292970
286,sao joao da barra,-21.64,-41.05,70.9,86,0,11.34,BR,1595292754
287,pisco,-13.7,-76.22,61.0,87,1,11.41,PE,1595292970
288,castro,-24.79,-50.01,55.24,83,0,4.38,BR,1595292970
289,sidney,-33.87,151.21,60.01,54,20,18.34,AU,1595292928
290,moerai,-22.43,-151.33,70.29,75,74,24.49,PF,1595292970
291,veraval,20.9,70.37,83.46,78,19,14.27,IN,1595292971
292,kargat,55.2,80.28,58.19,90,100,10.98,RU,1595292971
293,porto novo,6.5,2.6,77.0,94,20,5.82,BJ,1595292971
294,terrace,54.52,-128.6,62.6,93,90,6.93,CA,1595292971
295,neiafu,-18.65,-173.98,78.8,88,75,3.36,TO,1595292971
296,mogadishu,2.04,45.34,76.93,82,100,20.96,SO,1595292971
297,ahipara,-35.17,173.17,60.3,83,9,12.77,NZ,1595292972
298,buluang,13.31,123.34,86.07,68,93,2.51,PH,1595292972
299,abbeville,50.1,1.83,53.01,82,0,5.86,FR,1595292972
300,solnechnyy,50.72,136.63,65.91,95,100,5.44,RU,1595292972
301,los llanos de aridane,28.66,-17.92,73.4,69,75,16.11,ES,1595292972
302,san patricio,19.22,-104.7,86.0,79,20,20.8,MX,1595292972
303,dingle,11.0,122.67,85.06,73,0,4.88,PH,1595292755
304,lillesand,58.25,8.38,53.6,62,0,5.82,NO,1595292973
305,buraydah,26.33,43.98,91.4,21,0,3.36,SA,1595292973
306,mariestad,58.71,13.82,53.6,100,0,6.93,SE,1595292973
307,lima,-12.04,-77.03,60.8,77,90,6.93,PE,1595292973
308,lesnoy,57.62,63.08,54.45,82,53,8.23,RU,1595292973
309,sungaipenuh,-2.08,101.38,67.42,95,100,3.58,ID,1595292974
